,0
2440,11815
2441,11818
2442,11819
2443,11832
2444,11836
2445,11842
2446,11854
2447,11856
2448,11861
2449,11867
2450,11872
2451,11877
2452,11885
2453,11887
2454,11888
2455,11889
2456,11890
2457,11896
2458,11897
2459,11898
2460,11903
2461,11905
2462,11906
2463,11907
2464,11908
2465,11910
2466,11914
2467,11916
2468,11918
2469,11919
2470,11922
2471,11923
2472,11925
2473,11929
2474,11930
2475,11934
2476,11935
2477,11940
2478,11942
2479,11944
2480,11948
2481,11955
2482,11956
2483,11957
2484,11958
2485,11974
2486,11976
2487,11980
2488,11982
2489,11983
2490,11986
2491,11991
2492,11992
2493,11994
2494,12004
2495,12005
2496,12006
